jd	rv	rverr
1.511097565999999642e+04	2.465258503052494780e+04	1.237045288085937500e+00
1.517190372700011358e+04	2.464588368755177362e+04	1.189692258834838867e+00
1.518878474499983713e+04	2.466126952927574166e+04	1.135576248168945312e+00
1.523175903900014237e+04	2.464230235378889483e+04	1.070717692375183105e+00
1.525570994199998677e+04	2.465703995893974206e+04	1.018274903297424316e+00
1.525571056699985638e+04	2.466243903804369620e+04	1.145710825920104980e+00
1.526071454899990931e+04	2.466345352847143658e+04	1.047029852867126465e+00
1.526172056700009853e+04	2.465862588767756824e+04	1.340828299522399902e+00
1.542614420100022107e+04	2.463098226073291880e+04	9.596300721168518066e-01
1.542714747700002044e+04	2.463467062490630269e+04	9.076173305511474609e-01
1.543414679400017485e+04	2.465754748201858092e+04	8.091452717781066895e-01
1.543514571799989790e+04	2.466280280862067229e+04	9.130844473838806152e-01
1.543614393500005826e+04	2.464797761934461232e+04	9.508102536201477051e-01
1.543714855299983174e+04	2.465767330134425356e+04	9.763136506080627441e-01
1.543815013899980113e+04	2.464491722544972436e+04	8.408506512641906738e-01
1.543914763899985701e+04	2.464214547028590459e+04	8.693460822105407715e-01
1.543914815999986604e+04	2.464244191496735584e+04	8.017137050628662109e-01
1.543914869200019166e+04	2.464244355001251824e+04	9.005018472671508789e-01
1.544015012700017542e+04	2.463703029768795386e+04	9.267451763153076172e-01
1.544114849499985576e+04	2.463413182963567670e+04	9.003226757049560547e-01
1.545601335600018501e+04	2.465255008580080175e+04	1.033793807029724121e+00
1.546507043999992311e+04	2.464531561040332599e+04	1.010757803916931152e+00
1.546912459499994293e+04	2.465652606728956016e+04	9.841073751449584961e-01
1.548699949100008234e+04	2.463461283811779140e+04	1.143559813499450684e+00
1.550098187500005588e+04	2.464747720183082856e+04	9.558662772178649902e-01
1.552188820599997416e+04	2.462620971636161266e+04	1.008121967315673828e+00
1.554294697900023311e+04	2.463901428645133274e+04	1.142791152000427246e+00
1.561370483799977228e+04	2.466733625084586674e+04	1.023680329322814941e+00
1.579113829899998382e+04	2.466356616179251796e+04	8.402675986289978027e-01
1.579213400499988347e+04	2.464103041201028827e+04	9.977960586547851562e-01
1.579313785899989307e+04	2.463828511017950950e+04	8.538848757743835449e-01
1.579513964099995792e+04	2.464136802537684343e+04	8.835077285766601562e-01
1.579713722199993208e+04	2.464279762650377597e+04	7.566056847572326660e-01
1.579814080999977887e+04	2.465112470972284427e+04	8.543779850006103516e-01
1.580710971100023016e+04	2.463943610338538929e+04	9.385200142860412598e-01
1.580913465300016105e+04	2.465754821591052678e+04	9.891117215156555176e-01
1.587098515000008047e+04	2.465408127309632255e+04	1.165387153625488281e+00
1.590289679400017485e+04	2.464610449068233720e+04	1.274353027343750000e+00
1.590289854199998081e+04	2.465002049925169558e+04	1.257088065147399902e+00
1.590289950199984014e+04	2.464716276623756858e+04	1.257568955421447754e+00
1.596069892399990931e+04	2.464519780505407834e+04	1.280548572540283203e+00
1.613813078700006008e+04	2.464439292702023522e+04	9.137031435966491699e-01
1.614913228000001982e+04	2.465262064002076659e+04	1.126354932785034180e+00
1.614913280100002885e+04	2.464678925697522936e+04	8.358635902404785156e-01
1.614913333299988881e+04	2.464716771154576418e+04	8.270686268806457520e-01
1.617312961799977347e+04	2.464777897070071776e+04	1.032503962516784668e+00
1.620299350700015202e+04	2.467238362234792658e+04	1.176725387573242188e+00
1.620299422500003129e+04	2.467286552949855104e+04	1.122601747512817383e+00
1.620299497700016946e+04	2.467534121906876317e+04	1.076684117317199707e+00
1.632770149300014600e+04	2.467811010076629464e+04	1.090292692184448242e+00
1.634370377299981192e+04	2.466578946182297659e+04	1.033004164695739746e+00
1.653011636599991471e+04	2.466031997289400169e+04	9.712650179862976074e-01
1.653212074099993333e+04	2.466671969679557151e+04	8.733434677124023438e-01
1.658796187500003725e+04	2.466332422229083022e+04	1.087215065956115723e+00
1.661390524300001562e+04	2.466050080944423098e+04	1.044375061988830566e+00
1.663781061299983412e+04	2.467080857765980181e+04	1.093257188796997070e+00
1.663878690999979153e+04	2.467762185455526924e+04	1.092513680458068848e+00
1.667480420099990442e+04	2.467374847244616831e+04	1.116599082946777344e+00
1.670878372700000182e+04	2.465500285954575520e+04	8.996150493621826172e-01
1.688413062500022352e+04	2.466319655388928732e+04	9.922514557838439941e-01
1.688914604200003669e+04	2.467727546811158754e+04	7.832359075546264648e-01
1.689014620399987325e+04	2.466873961418243562e+04	8.282954692840576172e-01
1.689413881900021806e+04	2.466003139254018970e+04	8.191962242126464844e-01
1.689610997699992731e+04	2.466794848880483914e+04	8.180797100067138672e-01
1.691101976899988949e+04	2.466488180479981384e+04	1.007264614105224609e+00
1.691102031299984083e+04	2.466340191984859484e+04	1.127673149108886719e+00
1.691102086800010875e+04	2.466851359602649609e+04	1.006738781929016113e+00
1.723413935199985281e+04	2.466640860834567138e+04	8.426656723022460938e-01
1.724113738400023431e+04	2.465708866959285660e+04	8.991165161132812500e-01
1.724113791699986905e+04	2.465667707597605840e+04	9.191786050796508789e-01
1.724113846099982038e+04	2.465887780401699638e+04	8.030526041984558105e-01
1.724314320599986240e+04	2.466247471700280221e+04	8.563573956489562988e-01
1.724514538200013340e+04	2.465745238508006150e+04	8.471943736076354980e-01
1.724614239600021392e+04	2.466091924405057216e+04	1.063506960868835449e+00
1.724714666699990630e+04	2.464851793611498579e+04	8.840020298957824707e-01
1.725414817100018263e+04	2.466043536985488026e+04	7.904295325279235840e-01
1.725515163200022653e+04	2.466081790903367073e+04	8.202403783798217773e-01
1.725615078700007871e+04	2.465519712047161738e+04	8.418417572975158691e-01
1.729104328700015321e+04	2.465807452304047911e+04	9.995893836021423340e-01
1.732697811299981549e+04	2.466145967751917487e+04	1.157024383544921875e+00
1.735387668999982998e+04	2.464161194134352263e+04	1.186708092689514160e+00
1.737878618100006133e+04	2.464813538738858188e+04	1.168600082397460938e+00
1.738477806700021029e+04	2.466429755131679121e+04	1.151958703994750977e+00
1.740174894700013101e+04	2.466032119654427515e+04	1.079926967620849609e+00
1.767299050900014117e+04	2.465765731497596425e+04	1.136486530303955078e+00
1.767897506899992004e+04	2.463201765170426370e+04	1.072380661964416504e+00
1.770395521999988705e+04	2.462905307326689945e+04	1.438186168670654297e+00
1.770395574099989608e+04	2.462942297259136103e+04	1.149677634239196777e+00
1.770395629600016400e+04	2.463133818678493844e+04	1.052214980125427246e+00
1.771298786999983713e+04	2.464032811976921221e+04	1.142853617668151855e+00
